network,pool_address,date,open,high,low,close,volume
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-11-30,4.682160059079e-05,4.682160059079e-05,4.47175935148444e-05,4.5174882052807e-05,353.25701594764
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-11-29,4.29334858431094e-05,4.80758852203164e-05,4.29036522176749e-05,4.682160059079e-05,1032.70616799762
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-11-28,4.38784377006093e-05,4.58887255537956e-05,4.21633811192576e-05,4.29334858431094e-05,598.730897362233
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-11-27,4.2375214803491e-05,4.49049732652604e-05,4.10723111726822e-05,4.38784377006093e-05,828.569528171308
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-11-26,4.36337219939353e-05,4.4640268485458e-05,4.01576344511153e-05,4.2375214803491e-05,991.544931676232
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-11-25,4.80316948126775e-05,4.85544064672953e-05,4.22360901181832e-05,4.36337219939353e-05,2163.22337586574
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-11-24,4.73662516441929e-05,4.94152182890143e-05,4.32823076481247e-05,4.80316948126775e-05,1891.74892762728
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-11-23,4.93132759168082e-05,5.29020356016272e-05,4.68258083033328e-05,4.73662516441929e-05,1782.20736582061
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-11-22,5.38966703127134e-05,5.38966703127134e-05,4.80174491172635e-05,4.93132759168082e-05,2123.29027896961
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-11-21,4.95132118461436e-05,5.44866797999638e-05,4.66061785740635e-05,5.38966703127134e-05,3841.49843781404
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-11-20,5.19238025164273e-05,6.00257357434402e-05,4.79207276478183e-05,4.95132118461436e-05,3850.83395895673
solana,9GEwNPueWLTBYbQYZ6nETgnzjCnChtjpSt1YPNBaGSbW,2024-11-19,4.80127413492929e-05,5.73552779259456e-05,4.79153793606392e-05,5.19238025164273e-05,4853.25038373314
