network,pool_address,date,open,high,low,close,volume
solana,DPasfpNKTUDXMiM6tJJ41XiwqwuXEhsgcwuJY2t61p3D,2024-11-30,4.73617318944682e-05,4.73617318944682e-05,4.56553296348715e-05,4.56553296348715e-05,0.000450626321455516
solana,DPasfpNKTUDXMiM6tJJ41XiwqwuXEhsgcwuJY2t61p3D,2024-11-29,4.29373679384103e-05,4.73617318944682e-05,4.29373679384103e-05,4.73617318944682e-05,0.00426200173823897
solana,DPasfpNKTUDXMiM6tJJ41XiwqwuXEhsgcwuJY2t61p3D,2024-11-27,4.23550197740857e-05,4.29373679384103e-05,4.23550197740857e-05,4.29373679384103e-05,2.73021547773176e-05
solana,DPasfpNKTUDXMiM6tJJ41XiwqwuXEhsgcwuJY2t61p3D,2024-11-16,3.79924503923949e-05,4.23550197740857e-05,3.79924503923949e-05,4.23550197740857e-05,0.00992452446366532
solana,DPasfpNKTUDXMiM6tJJ41XiwqwuXEhsgcwuJY2t61p3D,2024-11-15,2.09818660671776e-05,3.79924503923949e-05,2.09818660671776e-05,3.79924503923949e-05,0.0505103948095556
solana,DPasfpNKTUDXMiM6tJJ41XiwqwuXEhsgcwuJY2t61p3D,2024-10-11,1.99677830716646e-05,2.09818660671776e-05,1.99677830716646e-05,2.09818660671776e-05,5.77687195033121
solana,DPasfpNKTUDXMiM6tJJ41XiwqwuXEhsgcwuJY2t61p3D,2024-10-10,1.97477992554025e-05,2.00727597855238e-05,1.9372115284507e-05,1.99677830716646e-05,8.9291293373101
solana,DPasfpNKTUDXMiM6tJJ41XiwqwuXEhsgcwuJY2t61p3D,2024-10-09,2.07444485242088e-05,2.11918787929811e-05,1.97477992554025e-05,1.97477992554025e-05,9.44724141344391
solana,DPasfpNKTUDXMiM6tJJ41XiwqwuXEhsgcwuJY2t61p3D,2024-10-08,2.11548240254286e-05,2.11548240254286e-05,2.07444485242088e-05,2.07444485242088e-05,0.0982976205707514
solana,DPasfpNKTUDXMiM6tJJ41XiwqwuXEhsgcwuJY2t61p3D,2024-10-07,2.19485766073416e-05,2.31216431780135e-05,2.11548240254286e-05,2.11548240254286e-05,10.7537235660195
solana,DPasfpNKTUDXMiM6tJJ41XiwqwuXEhsgcwuJY2t61p3D,2024-10-06,2.04262523585681e-05,2.19485766073416e-05,2.04111911916883e-05,2.19485766073416e-05,13.3382983979469
solana,DPasfpNKTUDXMiM6tJJ41XiwqwuXEhsgcwuJY2t61p3D,2024-10-05,2.18923466685961e-05,2.18923466685961e-05,2.04262523585681e-05,2.04262523585681e-05,6.55790517192405
solana,DPasfpNKTUDXMiM6tJJ41XiwqwuXEhsgcwuJY2t61p3D,2024-10-04,1.97093405402434e-05,2.18923466685961e-05,1.97093405402434e-05,2.18923466685961e-05,12.8431423563343
solana,DPasfpNKTUDXMiM6tJJ41XiwqwuXEhsgcwuJY2t61p3D,2024-10-03,2.22360761753237e-05,2.31024234936356e-05,1.9694066028867e-05,1.97093405402434e-05,40.1579127697665
solana,DPasfpNKTUDXMiM6tJJ41XiwqwuXEhsgcwuJY2t61p3D,2024-10-02,2.39202045025767e-05,2.52004860521807e-05,2.12980687814405e-05,2.22360761753237e-05,40.6879925164111
solana,DPasfpNKTUDXMiM6tJJ41XiwqwuXEhsgcwuJY2t61p3D,2024-10-01,2.36723060441547e-05,2.61964071519312e-05,2.19416974657805e-05,2.39202045025767e-05,71.3834574652352
solana,DPasfpNKTUDXMiM6tJJ41XiwqwuXEhsgcwuJY2t61p3D,2024-09-30,2.28756513904852e-05,2.51768963266526e-05,2.25367095527783e-05,2.36723060441547e-05,54.5781248582371
solana,DPasfpNKTUDXMiM6tJJ41XiwqwuXEhsgcwuJY2t61p3D,2024-09-29,2.3886349707488e-05,2.46758365307919e-05,2.28756513904852e-05,2.28756513904852e-05,12.8743931066061
solana,DPasfpNKTUDXMiM6tJJ41XiwqwuXEhsgcwuJY2t61p3D,2024-09-28,2.34424731939277e-05,2.43318051662966e-05,2.2237536165663e-05,2.3886349707488e-05,28.8247708196115
solana,DPasfpNKTUDXMiM6tJJ41XiwqwuXEhsgcwuJY2t61p3D,2024-09-27,2.08430224223117e-05,2.43642802616554e-05,2.08430224223117e-05,2.34424731939277e-05,26.9878642931309
solana,DPasfpNKTUDXMiM6tJJ41XiwqwuXEhsgcwuJY2t61p3D,2024-09-26,1.86304152505723e-05,2.08430224223117e-05,1.82062066539662e-05,2.08430224223117e-05,20.5787086537909
solana,DPasfpNKTUDXMiM6tJJ41XiwqwuXEhsgcwuJY2t61p3D,2024-09-25,1.83445813802054e-05,1.94359795286004e-05,1.83445813802054e-05,1.86304152505723e-05,10.8699857927102
solana,DPasfpNKTUDXMiM6tJJ41XiwqwuXEhsgcwuJY2t61p3D,2024-09-24,1.75489235659678e-05,1.83445813802054e-05,1.72658399215919e-05,1.83445813802054e-05,4.81242141752804
solana,DPasfpNKTUDXMiM6tJJ41XiwqwuXEhsgcwuJY2t61p3D,2024-09-23,1.69790652398002e-05,1.75489235659678e-05,1.69790652398002e-05,1.75489235659678e-05,3.0046286753216
solana,DPasfpNKTUDXMiM6tJJ41XiwqwuXEhsgcwuJY2t61p3D,2024-09-22,1.79320316693303e-05,1.79387375909437e-05,1.69790652398002e-05,1.69790652398002e-05,5.24094976895309
solana,DPasfpNKTUDXMiM6tJJ41XiwqwuXEhsgcwuJY2t61p3D,2024-09-21,1.81829727965554e-05,1.82134379448337e-05,1.77712583009603e-05,1.79320316693303e-05,7.00145756792799
solana,DPasfpNKTUDXMiM6tJJ41XiwqwuXEhsgcwuJY2t61p3D,2024-09-20,1.77191470264808e-05,1.84170248068611e-05,1.73294259260744e-05,1.81829727965554e-05,8.22581967137316
solana,DPasfpNKTUDXMiM6tJJ41XiwqwuXEhsgcwuJY2t61p3D,2024-09-19,1.63166271316679e-05,1.82030505905236e-05,1.63166271316679e-05,1.77191470264808e-05,16.1983666023323
