network,pool_address,date,open,high,low,close,volume
solana,G7mw1d83ismcQJKkzt62Ug4noXCjVhu3eV7U5EMgge6Z,2024-11-30,4.66358930437199e-05,4.67509830988853e-05,4.47427587885505e-05,4.51155555019395e-05,12355.2332134143
solana,G7mw1d83ismcQJKkzt62Ug4noXCjVhu3eV7U5EMgge6Z,2024-11-29,4.28821671332866e-05,4.84402904881063e-05,4.27687275458869e-05,4.66358930437199e-05,30858.8361296858
solana,G7mw1d83ismcQJKkzt62Ug4noXCjVhu3eV7U5EMgge6Z,2024-11-28,4.3981339993265e-05,4.58844491616647e-05,4.20999009182402e-05,4.28821671332866e-05,17665.8552626682
solana,G7mw1d83ismcQJKkzt62Ug4noXCjVhu3eV7U5EMgge6Z,2024-11-27,4.25653955487184e-05,4.50769781426251e-05,4.10163466306218e-05,4.3981339993265e-05,29332.1324298215
solana,G7mw1d83ismcQJKkzt62Ug4noXCjVhu3eV7U5EMgge6Z,2024-11-26,4.34763396006474e-05,4.44584961216821e-05,4.00593016068671e-05,4.25653955487184e-05,40429.3808887369
solana,G7mw1d83ismcQJKkzt62Ug4noXCjVhu3eV7U5EMgge6Z,2024-11-25,4.8042502852815e-05,4.84779667137597e-05,4.20964386341035e-05,4.34763396006474e-05,64972.5347607439
solana,G7mw1d83ismcQJKkzt62Ug4noXCjVhu3eV7U5EMgge6Z,2024-11-24,4.76484423257658e-05,4.94894093509969e-05,4.31191627508923e-05,4.8042502852815e-05,49533.1182969438
solana,G7mw1d83ismcQJKkzt62Ug4noXCjVhu3eV7U5EMgge6Z,2024-11-23,4.94005652301185e-05,5.29381417246077e-05,4.67906904633513e-05,4.76484423257658e-05,45835.7074569046
solana,G7mw1d83ismcQJKkzt62Ug4noXCjVhu3eV7U5EMgge6Z,2024-11-22,5.34619025653393e-05,5.38288670201891e-05,4.77721563599417e-05,4.94005652301185e-05,43179.4739828681
solana,G7mw1d83ismcQJKkzt62Ug4noXCjVhu3eV7U5EMgge6Z,2024-11-21,4.93339507441437e-05,5.44614445963536e-05,4.64668122331203e-05,5.34619025653393e-05,97220.6914260895
solana,G7mw1d83ismcQJKkzt62Ug4noXCjVhu3eV7U5EMgge6Z,2024-11-20,5.2346048583179e-05,5.99385803748271e-05,4.79058293780287e-05,4.93339507441437e-05,164748.523280329
solana,G7mw1d83ismcQJKkzt62Ug4noXCjVhu3eV7U5EMgge6Z,2024-11-19,4.80750921055624e-05,5.76405468122812e-05,4.78646648288098e-05,5.2346048583179e-05,126005.348622775
solana,G7mw1d83ismcQJKkzt62Ug4noXCjVhu3eV7U5EMgge6Z,2024-11-18,5.11866602050388e-05,5.38723937533017e-05,4.56002753555007e-05,4.80750921055624e-05,92709.6129344479
solana,G7mw1d83ismcQJKkzt62Ug4noXCjVhu3eV7U5EMgge6Z,2024-11-17,4.75200909083376e-05,5.68125463938815e-05,4.44155034153125e-05,5.11866602050388e-05,175748.77434105
solana,G7mw1d83ismcQJKkzt62Ug4noXCjVhu3eV7U5EMgge6Z,2024-11-16,4.52744757803702e-05,4.86992919514156e-05,3.77588231507169e-05,4.75200909083376e-05,113760.614080969
solana,G7mw1d83ismcQJKkzt62Ug4noXCjVhu3eV7U5EMgge6Z,2024-11-15,3.54240172239702e-05,4.89162626275891e-05,3.29964130043288e-05,4.52744757803702e-05,161300.029415553
solana,G7mw1d83ismcQJKkzt62Ug4noXCjVhu3eV7U5EMgge6Z,2024-11-14,3.7554770145553e-05,4.42172821160122e-05,3.45904107774816e-05,3.54240172239702e-05,213967.157477276
solana,G7mw1d83ismcQJKkzt62Ug4noXCjVhu3eV7U5EMgge6Z,2024-11-13,3.72385277247058e-05,4.23164071183399e-05,3.11847137989741e-05,3.7554770145553e-05,298023.74265229
solana,G7mw1d83ismcQJKkzt62Ug4noXCjVhu3eV7U5EMgge6Z,2024-11-12,2.66605128534462e-05,4.00783115032484e-05,2.51024618472483e-05,3.72385277247058e-05,179396.323618893
solana,G7mw1d83ismcQJKkzt62Ug4noXCjVhu3eV7U5EMgge6Z,2024-11-11,2.54730673105959e-05,2.76582105960329e-05,2.46725660393506e-05,2.66605128534462e-05,62131.8831657408
solana,G7mw1d83ismcQJKkzt62Ug4noXCjVhu3eV7U5EMgge6Z,2024-11-10,2.24277383116091e-05,2.78149245324635e-05,2.22032055017767e-05,2.54730673105959e-05,53505.621308428
solana,G7mw1d83ismcQJKkzt62Ug4noXCjVhu3eV7U5EMgge6Z,2024-11-09,2.19153775317573e-05,2.26751362467877e-05,2.13204136046055e-05,2.24277383116091e-05,8336.42575620566
solana,G7mw1d83ismcQJKkzt62Ug4noXCjVhu3eV7U5EMgge6Z,2024-11-08,2.26193854448087e-05,2.31767773125457e-05,2.12787214790537e-05,2.19153775317573e-05,16055.8710267013
solana,G7mw1d83ismcQJKkzt62Ug4noXCjVhu3eV7U5EMgge6Z,2024-11-07,2.270248418636e-05,2.34057681270983e-05,2.16498813764264e-05,2.26193854448087e-05,15646.7720997639
solana,G7mw1d83ismcQJKkzt62Ug4noXCjVhu3eV7U5EMgge6Z,2024-11-06,1.91884124923225e-05,2.29400433674265e-05,1.91456687431115e-05,2.270248418636e-05,31615.1808523586
