network,pool_address,date,open,high,low,close,volume
solana,HVNwzt7Pxfu76KHCMQPTLuTCLTm6WnQ1esLv4eizseSv,2024-11-30,4.66788781080624e-05,4.66788781080624e-05,4.17822568645286e-05,4.50380048161141e-05,33691.6508553347
solana,HVNwzt7Pxfu76KHCMQPTLuTCLTm6WnQ1esLv4eizseSv,2024-11-29,4.29451173076448e-05,4.85978316948696e-05,4.28866216555972e-05,4.66788781080624e-05,44439.8690468517
solana,HVNwzt7Pxfu76KHCMQPTLuTCLTm6WnQ1esLv4eizseSv,2024-11-28,4.39680169638929e-05,4.59026395771249e-05,4.01470162307647e-05,4.29451173076448e-05,44786.0934098772
solana,HVNwzt7Pxfu76KHCMQPTLuTCLTm6WnQ1esLv4eizseSv,2024-11-27,4.2666624e-05,4.86220744055897e-05,4.05168616480318e-05,4.39680169638929e-05,70492.4265495919
solana,HVNwzt7Pxfu76KHCMQPTLuTCLTm6WnQ1esLv4eizseSv,2024-11-26,4.35835701998895e-05,4.46082529760506e-05,4.01239998161697e-05,4.2666624e-05,51483.3553430676
solana,HVNwzt7Pxfu76KHCMQPTLuTCLTm6WnQ1esLv4eizseSv,2024-11-25,4.80421913684292e-05,4.85051348671908e-05,4.15962741539716e-05,4.35835701998895e-05,113057.617731055
solana,HVNwzt7Pxfu76KHCMQPTLuTCLTm6WnQ1esLv4eizseSv,2024-11-24,4.77033995736474e-05,4.97369264923947e-05,4.31152311442382e-05,4.80421913684292e-05,99047.8218698216
solana,HVNwzt7Pxfu76KHCMQPTLuTCLTm6WnQ1esLv4eizseSv,2024-11-23,4.94428630219783e-05,5.31595260579747e-05,4.63335891996263e-05,4.77033995736474e-05,101065.263878246
solana,HVNwzt7Pxfu76KHCMQPTLuTCLTm6WnQ1esLv4eizseSv,2024-11-22,5.35093288523798e-05,5.38873609742e-05,4.78246802530869e-05,4.94428630219783e-05,88588.2016210985
solana,HVNwzt7Pxfu76KHCMQPTLuTCLTm6WnQ1esLv4eizseSv,2024-11-21,4.94662083387883e-05,5.46128995813983e-05,4.64675041540251e-05,5.35093288523798e-05,205668.677563398
solana,HVNwzt7Pxfu76KHCMQPTLuTCLTm6WnQ1esLv4eizseSv,2024-11-20,5.22810324785547e-05,5.97966083465616e-05,4.79864199901409e-05,4.94662083387883e-05,323591.696139813
solana,HVNwzt7Pxfu76KHCMQPTLuTCLTm6WnQ1esLv4eizseSv,2024-11-19,4.83555067615954e-05,5.78970165290492e-05,4.78336545891892e-05,5.22810324785547e-05,262969.018762549
solana,HVNwzt7Pxfu76KHCMQPTLuTCLTm6WnQ1esLv4eizseSv,2024-11-18,5.13003753872339e-05,5.39755369217454e-05,4.56239591002406e-05,4.83555067615954e-05,188759.312297114
solana,HVNwzt7Pxfu76KHCMQPTLuTCLTm6WnQ1esLv4eizseSv,2024-11-17,4.75002266404474e-05,5.66759467440943e-05,4.43158563755953e-05,5.13003753872339e-05,387018.155682703
solana,HVNwzt7Pxfu76KHCMQPTLuTCLTm6WnQ1esLv4eizseSv,2024-11-16,4.53121077647415e-05,5.57574197193181e-05,3.85336312580449e-05,4.75002266404474e-05,262790.732454635
solana,HVNwzt7Pxfu76KHCMQPTLuTCLTm6WnQ1esLv4eizseSv,2024-11-15,3.54252515053102e-05,4.88937797828867e-05,3.30515538711046e-05,4.53121077647415e-05,308494.905475152
solana,HVNwzt7Pxfu76KHCMQPTLuTCLTm6WnQ1esLv4eizseSv,2024-11-14,3.75774814031414e-05,4.40051391127261e-05,3.482639423201e-05,3.54252515053102e-05,323196.324978755
solana,HVNwzt7Pxfu76KHCMQPTLuTCLTm6WnQ1esLv4eizseSv,2024-11-13,3.72682000553745e-05,4.24123125067689e-05,3.07648720249011e-05,3.75774814031414e-05,383164.911759208
solana,HVNwzt7Pxfu76KHCMQPTLuTCLTm6WnQ1esLv4eizseSv,2024-11-12,2.68072111843654e-05,3.98994319380432e-05,2.50398557563068e-05,3.72682000553745e-05,289458.553900845
solana,HVNwzt7Pxfu76KHCMQPTLuTCLTm6WnQ1esLv4eizseSv,2024-11-11,2.54586993711708e-05,2.75925137465198e-05,2.466919571492e-05,2.68072111843654e-05,89371.6730135625
